./bin/cu10_prefixscan_1024,         256, 8,85470086.433325,0.029952
./bin/cu10_prefixscan_1024,         512, 9,192771082.447666,0.026560
./bin/cu10_prefixscan_1024,        1024,10,348204570.848739,0.029408
./bin/cu10_prefixscan_1024,        2048,11,385078223.515127,0.053184
./bin/cu10_prefixscan_1024,        4096,12,732265442.167517,0.055936
./bin/cu10_prefixscan_1024,        8192,13,1465369214.820547,0.055904
./bin/cu10_prefixscan_1024,       16384,14,2930738356.404935,0.055904
./bin/cu10_prefixscan_1024,       32768,15,6209824198.183639,0.052768
./bin/cu10_prefixscan_1024,       65536,16,10830248754.747572,0.060512
./bin/cu10_prefixscan_1024,      131072,17,16745707187.151985,0.078272
./bin/cu10_prefixscan_1024,      262144,18,22431544273.437340,0.116864
./bin/cu10_prefixscan_1024,      524288,19,28880662457.005772,0.181536
./bin/cu10_prefixscan_1024,     1048576,20,33590978562.200024,0.312160
./bin/cu10_prefixscan_1024,     2097152,21,35409552721.382202,0.592256
./bin/cu10_prefixscan_1024,     4194304,22,36628661263.949768,1.145088
./bin/cu10_prefixscan_1024,     8388608,23,20363229600.933189,4.119488
./bin/cu10_prefixscan_1024,    16777216,24,20475920796.044216,8.193632
./bin/cu10_prefixscan_1024,    33554432,25,20547260119.133606,16.330368
./bin/cu10_prefixscan_1024,    67108864,26,20601415642.204494,32.574880
./bin/cu10_prefixscan_1024,   134217728,27,20668712993.200050,64.937632
./bin/cu10_prefixscan_1024,   268435456,28,20542213228.902958,130.675041
./bin/cu10_prefixscan_128,         256, 8,48019207.365219,0.053312
./bin/cu10_prefixscan_128,         512, 9,99688473.666020,0.051360
./bin/cu10_prefixscan_128,        1024,10,185938407.057569,0.055072
./bin/cu10_prefixscan_128,        2048,11,398257616.100941,0.051424
./bin/cu10_prefixscan_128,        4096,12,732684595.204247,0.055904
./bin/cu10_prefixscan_128,        8192,13,1434977584.292989,0.057088
./bin/cu10_prefixscan_128,       16384,14,3110571100.864418,0.052672
./bin/cu10_prefixscan_128,       32768,15,3926380331.456581,0.083456
./bin/cu10_prefixscan_128,       65536,16,7573964419.358273,0.086528
./bin/cu10_prefixscan_128,      131072,17,13809845044.407824,0.094912
./bin/cu10_prefixscan_128,      262144,18,24200886133.018433,0.108320
./bin/cu10_prefixscan_128,      524288,19,34859574755.094017,0.150400
./bin/cu10_prefixscan_128,     1048576,20,45228433488.858421,0.231840
./bin/cu10_prefixscan_128,     2097152,21,53885874295.852127,0.389184
./bin/cu10_prefixscan_128,     4194304,22,53608180667.260254,0.782400
./bin/cu10_prefixscan_128,     8388608,23,24692130336.093365,3.397280
./bin/cu10_prefixscan_128,    16777216,24,24153057322.150078,6.946208
./bin/cu10_prefixscan_128,    33554432,25,24141324117.336681,13.899168
./bin/cu10_prefixscan_128,    67108864,26,23975945866.637394,27.990080
./bin/cu10_prefixscan_128,   134217728,27,23987340163.909370,55.953568
./bin/cu10_prefixscan_128,   268435456,28,23900755099.249004,112.312542
./bin/cu10_prefixscan_256,         256, 8,91954023.004378,0.027840
./bin/cu10_prefixscan_256,         512, 9,97205346.042642,0.052672
./bin/cu10_prefixscan_256,        1024,10,186588922.236279,0.054880
./bin/cu10_prefixscan_256,        2048,11,387174830.379427,0.052896
./bin/cu10_prefixscan_256,        4096,12,735209643.465375,0.055712
./bin/cu10_prefixscan_256,        8192,13,1372654156.702389,0.059680
