./bin/cu10_prefixscan_256,         256, 8,91954023.004378,0.027840
./bin/cu10_prefixscan_1024,         512, 9,192771082.447666,0.026560
./bin/cu10_prefixscan_1024,        1024,10,348204570.848739,0.029408
./bin/cu10_prefixscan_128,        2048,11,398257616.100941,0.051424
./bin/cu10_prefixscan_512,        4096,12,751614803.077124,0.054496
./bin/cu10_prefixscan_512,        8192,13,1535692871.065220,0.053344
./bin/cu10_prefixscan_512,       16384,14,3208020046.342015,0.051072
./bin/cu10_prefixscan_256,       32768,15,6440251572.930612,0.050880
./bin/cu10_prefixscan_256,       65536,16,11034482743.222307,0.059392
./bin/cu10_prefixscan_512,      131072,17,20337636418.742470,0.064448
./bin/cu10_prefixscan_512,      262144,18,30464856649.853008,0.086048
./bin/cu10_prefixscan_256,      524288,19,35501625262.666771,0.147680
./bin/cu10_prefixscan_128,     1048576,20,45228433488.858421,0.231840
./bin/cu10_prefixscan_128,     2097152,21,53885874295.852127,0.389184
./bin/cu10_prefixscan_256,     4194304,22,56721481895.645279,0.739456
./bin/cu10_prefixscan_512,     8388608,23,24892602898.622890,3.369920
./bin/cu10_prefixscan_512,    16777216,24,24534865776.134514,6.838112
./bin/cu10_prefixscan_512,    33554432,25,24451507126.884651,13.722848
./bin/cu10_prefixscan_512,    67108864,26,24411858605.033737,27.490272
./bin/cu10_prefixscan_512,   134217728,27,24353545514.053272,55.112192
./bin/cu10_prefixscan_512,   268435456,28,24388111710.657635,110.068159
